区域,地址,标题,户型,面积,价格,楼层,建造时间,朝向,更新时间,看房人数,备注,链接地址
北苑租房,天润福熙大道,天润福熙大道 板楼两居+书房 精装修拎包入住 朝外旁,2室1厅,121平米,9800,中楼层(共27层),2014年建板楼,南,2017.07.26,5, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101801980.html
三元桥租房,凤凰城一期,凤凰城精装三居室 南北通透 拎包入住,3室1厅,191平米,18000,中楼层(共34层),2002年建塔楼,南 北,2017.07.26,3, 距离机场线三元桥站789米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101802093.html
南沙滩租房,南沙滩小区,南沙滩南北三居 出行方便 拎包入住,3室1厅,67平米,7500,中楼层(共6层),1987年建板楼,南 北,2017.07.26,4, 距离15号线北沙滩站810米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101802362.html
望京租房,望京花园东区,望京花园东区正规两居室 温馨整洁 拎包能入住,2室1厅,101平米,8500,中楼层(共26层),2002年建塔楼,东南,2017.07.26,4, 距离14号线(东段)东湖渠站1152米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101755037.html
豆各庄租房,万科青青家园,小区中间位置 精装三居室 拎包入住 钥匙房看房方便,3室2厅,133平米,6500,中楼层(共5层),2003年建板楼,南 北,2017.07.21,4, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101748912.html
通州北苑租房,杨庄22号院,杨庄22号院  南北通透  业主诚租,2室1厅,81平米,4000,高楼层(共6层),2001年建板楼,南 北,2017.07.26,1, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101751081.html
双井租房,非常生活,双井 静谧的小区 东向一居室 有钥匙 随时看,1室1厅,64平米,6600,中楼层(共23层),2004年建塔楼,东,2017.07.23,5, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101796417.html
望京租房,南湖东园一区,南湖东园一区 通透户型 精装两居室 ,2室2厅,82平米,7100,中楼层(共6层),1998年建板楼,东 西,2017.07.27,4, 距离15号线望京站518米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101794766.html
良乡租房,绿地新都会,绿地新都会南北通透两居室，精装修，全齐出租,2室1厅,96平米,3000,中楼层(共12层),2011年建板塔结合,南 北,2017.07.27,2, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101757286.html
酒仙桥租房,梵谷水郡,酒仙桥梵谷水郡精装两居 近798 恒通 电子城IT产业园 ,2室1厅,90平米,7300,中楼层(共24层),2009年建塔楼,南,2017.07.19,5, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101748307.html
通州北苑租房,北苑甲55号院,精装南北通透2居 家电家具都有 随时看房 拎包入住,2室1厅,61平米,3400,中楼层(共6层),1985年建板楼,南 北,2017.07.26,4, 距离八通线通州北苑站955米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101755593.html
白纸坊租房,恬心家园,恬心家园 全南向大开间 装修好 拎包入住,1室0厅,49平米,4800,中楼层(共18层),2004年建板塔结合,南,2017.07.23,3, 随时看房 自供暖,https://bj.lianjia.com/zufang/101101801571.html
朝阳门外租房,日坛国际公寓,日坛国际公寓 全新装修两居 随时看房 随时入住,3房间1卫,91平米,13000,低楼层(共18层),2009年建塔楼,西,2017.07.22,10, 距离6号线东大桥站1189米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101816518.html
回龙观租房,东亚上北中心,东亚上北 电梯房 燃气入户 集中供暖,1房间1卫,38平米,3600,低楼层(共21层),2009年建板塔结合,北,2017.07.27,8, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101837998.html
立水桥租房,明天第一城8号院,明天第1城开间 精装修 交通便利,1房间1卫,45平米,4000,低楼层(共20层),2007年建板塔结合,北,2017.07.27,7, 距离5号线立水桥站1056米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101852901.html
常营租房,北京像素北区,北京像素 复式户型  两个房间   押一付三,3房间2卫,46平米,5300,中楼层(共17层),2011年建板塔结合,西,2017.07.23,8, 距离6号线草房站540米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101841619.html
CBD租房,阳光100,CBD 阳光100 方正四居室 居住舒适,4室2厅,173平米,18000,低楼层(共30层),2002年建塔楼,东南 东北,2017.07.14,3, 距离1号线大望路站745米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101105262.html
大望路租房,珠江帝景博悦,珠江帝景 正规三居 精装修 拎包入住,3室2厅,160平米,18000,中楼层(共15层),2008年建板楼,南 北,2017.07.23,2, 距离7号线大郊亭站935米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101681938.html
安贞租房,安贞里,安贞里精装大三居随时可看，快来咨询吧,3室1厅,147平米,12000,中楼层(共7层),2000年建板楼,南 北,2017.07.25,4, 距离10号线安贞门站883米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101683857.html
天通苑租房,天通苑东一区,东一区复式四居 可合租 家电齐全 ,4室2厅,231平米,9500,高楼层(共6层),2001年建板楼,南 北,2017.07.26,2, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101713920.html
安贞租房,深房大厦,北三环可居住可办公又钥匙随时看,3室1厅,150平米,16000,中楼层(共23层),1997年建塔楼,东 南 西 北,2017.07.20,1, 距离8号线安华桥站382米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101717185.html
良乡租房,行宫园一里,行宫园一里高层复式，四居，有钥匙方便看房，接受短租,4室2厅,199平米,5000,高楼层(共12层),2002年建板塔结合,南 北,2017.07.24,2, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101724876.html
北苑租房,润泽庄园,北苑润泽庄园联排别墅，挑空设计出租,5室2厅,312平米,32000,地下室(共2层),2009年建,南 北,2017.07.27,3, 随时看房 自供暖,https://bj.lianjia.com/zufang/101101706444.html
潞苑租房,中建红杉溪谷,通州北关 中建红杉溪谷 新社区 环境好 人车分流 毛坯,4室2厅,207平米,7000,中楼层(共4层),2014年建,南 北,2017.07.27,2, 随时看房 自供暖,https://bj.lianjia.com/zufang/101101637814.html
大山子租房,银枫家园,酒仙桥 798 银枫家园 精装四居室 看房方便,4室1厅,330平米,30000,中楼层(共23层),2002年建塔楼,东南 西北,2017.07.25,4, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101650546.html
六里桥租房,华尔街观典,华尔街观典精装修两居室，观湖大宅,2室2厅,94平米,8100,低楼层(共26层),2007年建板塔结合,东南,2017.07.27,21, 距离10号线莲花桥站1143米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101596578.html
东花市租房,东花市北里西区,东花市北里两居室，采光好，拎包入住,2室1厅,60平米,6600,高楼层(共6层),1995年建塔楼,东 西,2017.07.27,21, 距离7号线广渠门内站731米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101492795.html
北七家租房,北京太阳城老年公寓,北京太阳城独栋，市政供暖，精装修带花园，看房方便。,6室2厅,316平米,17000,低楼层(共2层),2001年建板楼,东 南 西 北,2017.07.14,1, 随时看房 精装修,https://bj.lianjia.com/zufang/101101569212.html
果园租房,葛布店北里,近地铁便宜两居随时可看随时可签,2室1厅,52平米,2800,低楼层(共6层),1990年建板楼,南 北,2017.07.17,15, 距离八通线九棵树站940米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101412801.html
北苑租房,时代庄园,时代庄园联排别墅 随时可看 诚心出租,5室3厅,219平米,28000,低楼层(共3层),2003年建,南 北,2017.07.19,5, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101547440.html
玉桥租房,源泉苑,源泉苑南北通透一居低楼层随时看房家具家电齐全,1室2厅,61平米,2500,中楼层(共6层),2000年建板楼,南 北,2017.07.17,12, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101191305.html
金融街租房,京畿道,京畿道 1室1厅 7200元,1室1厅,39平米,7200,低楼层(共6层),1990年建板楼,西,2017.07.22,18, 距离1号线西单站891米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101100834486.html
芍药居租房,樱花中路,樱花中路  双朝南两居室  精装修  看房随时,2室1厅,65平米,6600,中楼层(共16层),1986年建塔楼,南,2017.07.24,18, 距离5号线和平西桥站755米 随时看房 精装修,https://bj.lianjia.com/zufang/101101454801.html
酒仙桥租房,阳光上东,阳光上东丹麦南北西三面采光 精装随时住,4室2厅,285平米,45000,高楼层(共29层),2009年建板楼,南 北,2017.07.26,6, 距离14号线(东段)将台站1112米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101613695.html
世纪城租房,观山园,观山园南向两居室 精装修  带露台,2室2厅,125平米,15500,高楼层(共11层),2004年建板楼,南,2017.07.27,17, 距离10号线火器营站835米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101500741.html
太阳宫租房,太阳公元,太阳公元双卧朝阳三居 欧式家具 看房方便,3室2厅,159平米,36000,低楼层(共25层),2010年建板塔结合,南 北,2017.07.27,15, 距离13号线芍药居站851米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101100777313.html
世纪城租房,春荫园,春荫园 3室2厅 22500元,3室2厅,209平米,22500,中楼层(共13层),2004年建板楼,东南,2017.07.20,21, 距离10号线火器营站1043米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101100959166.html
北太平庄租房,庚坊国际,庚坊国际 1室0厅 4300元,1室0厅,26平米,4300,低楼层(共16层),2005年建塔楼,北,2017.07.15,54, 距离10号线牡丹园站862米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101061355.html
双井租房,富力城A区,繁华地段双井国贸富力城A区大四居 随时入住 临地铁,4室1厅,175平米,26000,中楼层(共28层),2004年建板塔结合,南 北,2017.07.23,4, 距离10号线双井站264米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101628548.html
豆各庄租房,富力又一城C区,富力又一城南北通透大四居 业主诚意出租,4室2厅,198平米,12000,高楼层(共23层),2011年建板楼,南 北,2017.07.20,3, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101661746.html
梨园租房,桃花岛,桃花岛精装三居家具家电都有看房提前预约,4室1厅,106平米,4000,高楼层(共6层),2007年建板楼,南 北,2017.07.18,4, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101605547.html
石佛营租房,万科金阳,万科金阳精装loft靠谱出租，随时可看,2室1厅,48平米,7200,低楼层(共22层),2007年建塔楼,西,2017.07.25,17, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101546592.html
西红门租房,月桂庄园,西红门别墅区月桂庄园 上下复式大面积 办公居住都可以,3室1厅,187平米,12500,中楼层(共5层),2002年建板楼,南 北,2017.07.26,5, 距离4号线西红门站1029米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101430325.html
双井租房,非常生活,广渠路双井 三环旁 西南两居 经济实用,2室1厅,82平米,8500,高楼层(共23层),2004年建塔楼,西南,2017.07.24,23, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101438421.html
石佛营租房,朝阳捷座,朝阳捷座   全朝南的两居室  采光很好 ,2室1厅,91平米,6500,中楼层(共9层),2005年建板楼,南 北,2017.07.25,19, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101438578.html
成寿寺租房,四方景园二区,四方景园二区 1室1厅 4600元,1室1厅,53平米,4600,中楼层(共28层),2005年建塔楼,北,2017.07.27,21, 距离14号线(东段)方庄站1171米 随时看房 自供暖,https://bj.lianjia.com/zufang/101101723519.html
鲁谷租房,远洋山水,远洋山水 1室0厅 5100元,1室0厅,47平米,5100,低楼层(共26层),2005年建板塔结合,西,2017.07.21,24, 距离1号线八宝山站912米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101724922.html
安定门租房,安德路55号院,安德路55号院 1室1厅 4300元,1室1厅,37平米,4300,高楼层(共6层),1985年建板楼,东,2017.07.26,17, 距离2号线鼓楼大街站595米 随时看房,https://bj.lianjia.com/zufang/101101725061.html
滨河西区租房,门头沟月季园,门头沟月季园 2室1厅 2800元,2室1厅,65平米,2800,高楼层(共6层),1991年建板楼,南 北,2017.07.19,24, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101696001.html
双井租房,合生国际花园,合生国际花园 1室1厅 8700元,1室1厅,65平米,8700,高楼层(共18层),2008年建板楼,东,2017.07.24,21, 距离10号线双井站627米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101681044.html
建国门外租房,燕华苑,燕华苑精装两居室，居家好房，临东二环，交通便捷,2室2厅,117平米,11000,中楼层(共26层),1998年建塔楼,南,2017.07.18,19, 距离1号线建国门站295米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101100739245.html
梨园租房,时尚街区西区,贵友大厦一侧装修不错的两居楼层低看房方便,2室2厅,96平米,3900,低楼层(共18层),2004年建塔楼,西南,2017.07.26,14, 距离八通线梨园站769米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101617862.html
望京租房,里外里公寓,精装三居室，门口地铁阜通站，位置领先，欢迎致电咨询,3室2厅,138平米,14000,高楼层(共18层),2007年建板塔结合,东南,2017.07.21,5, 距离14号线(东段)阜通站226米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101628943.html
朝青租房,天鹅湾北区,天鹅湾北区 3室2厅 23000元,3室2厅,123平米,23000,高楼层(共18层),2007年建板塔结合,西,2017.07.14,12, 距离6号线青年路站481米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101047834.html
朝阳门内租房,仓南胡同14号院,南北通透两居室，屋内设施齐。恩，，好,2室1厅,70平米,8300,中楼层(共6层),1993年建板楼,南 北,2017.07.14,18, 距离2号线朝阳门站729米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101162277.html
九棵树(家乐福)租房,龙湖蔚澜香醍,空房两居，随时看房，出行方便，医疗方便,2室1厅,91平米,6000,高楼层(共15层),2012年建塔楼,南,2017.07.20,14, 距离八通线九棵树站947米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101384132.html
知春路租房,罗庄西里,罗庄西里两居室中等装修拎包即住,2室1厅,86平米,8200,高楼层(共18层),1998年建塔楼,东南,2017.07.27,18, 距离10号线知春路站698米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101414799.html
望京租房,大西洋新城C区,大西洋新城C区 3室2厅 20000元,3室2厅,198平米,20000,高楼层(共9层),2000年建板楼,南 北,2017.07.21,21, 距离14号线(东段)阜通站650米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101514228.html
果园租房,日光清城,日光清城 2室1厅 4500元,2室1厅,104平米,4500,高楼层(共7层),2003年建板楼,南 北,2017.07.18,9, 距离八通线果园站219米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101547197.html
燕莎租房,嘉和丽园,嘉和丽园  超大面积四居室 客厅大 带阳台,4室2厅,294平米,30000,低楼层(共28层),2001年建塔楼,西南,2017.07.24,4, 距离机场线三元桥站1169米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101598972.html
广渠门租房,光明楼,光明楼 1室1厅 4500元,1室1厅,41平米,4500,低楼层(共6层),1992年建板楼,南 北,2017.07.19,15, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101744116.html
西直门租房,玉桃园三区,玉桃园小区精装三居室来袭  近地铁  出行方便,3室1厅,76平米,9600,中楼层(共6层),1990年建板楼,南 西 北,2017.07.22,32, 距离4号线新街口站672米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101648816.html
九棵树(家乐福)租房,怡乐北街,怡乐北街 2室1厅 3300元,2室1厅,76平米,3300,低楼层(共6层),2000年建板楼,南 北,2017.07.23,19, 距离八通线果园站1126米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101656984.html
西直门租房,玉桃园三区,玉桃园小区精装三居室来袭  近地铁  出行方便,3室1厅,76平米,9600,中楼层(共6层),1990年建板楼,南 西 北,2017.07.22,32, 距离4号线新街口站672米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101648816.html
九棵树(家乐福)租房,怡乐北街,怡乐北街 2室1厅 3300元,2室1厅,76平米,3300,低楼层(共6层),2000年建板楼,南 北,2017.07.23,19, 距离八通线果园站1126米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101656984.html
九棵树(家乐福)租房,阿尔法社区三期,阿尔法社区三期 3室1厅 5300元,3室1厅,110平米,5300,中楼层(共6层),2010年建板楼,南 北,2017.07.19,9, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101664546.html
学院路租房,城华园,城华园 2室1厅 6800元,2室1厅,89平米,6800,高楼层(共27层),2002年建塔楼,东北,2017.07.26,23, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101707476.html
望京租房,北京香颂,北京香颂 1室2厅 7600元,1室2厅,70平米,7600,高楼层(共20层),2007年建塔楼,西,2017.07.26,24, 距离13号线望京西站573米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101711143.html
西坝河租房,光熙门北里,光熙门北里 2室1厅 6300元,2室1厅,58平米,6300,高楼层(共22层),1989年建塔楼,西北,2017.07.26,21, 距离13号线光熙门站365米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101715619.html
清河租房,永泰西里,永泰西里 2室1厅 4500元,2室1厅,60平米,4500,高楼层(共6层),1998年建板楼,东 西,2017.07.26,22, 距离8号线永泰庄站485米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101720271.html
和平里租房,锦鸿阁,锦鸿阁两室一厅，南北通透，交通便捷购物方便,2室1厅,123平米,13000,中楼层(共16层),2006年建板塔结合,南 北,2017.07.22,17, 距离13号线柳芳站687米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101534327.html
科技园区租房,设计师广场,大面积 精装修 把边户型 看房方便,1室0厅,48平米,4000,中楼层(共26层),2008年建塔楼,东南 西南,2017.07.21,22, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101678941.html
草桥租房,风景club,风景CLUB 南北 正规两居室,2室1厅,86平米,5500,中楼层(共11层),2007年建板楼,南 北,2017.07.27,20, 距离10号线草桥站767米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101610926.html
官园租房,西派国际公寓,西城 官园金融街 车公庄地铁 精装 看房方便,3室2厅,191平米,40000,高楼层(共17层),2009年建板楼,东 南 西,2017.07.20,25, 距离2号线车公庄站423米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101462442.html
双井租房,苹果社区北区,苹果社区北区 1室0厅 7000元,1室0厅,59平米,7000,高楼层(共21层),2008年建板塔结合,南,2017.07.27,22, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101731076.html
清河租房,橡树湾,橡树湾二期 南北通透 三居室 带花厅 ,3室2厅,173平米,15000,低楼层(共22层),2008年建板楼,南 北,2017.07.24,23, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101478450.html
国展租房,柳芳北里,中海油一居室，有管理，24小时热水，可拎包入住,1室1厅,44平米,5000,高楼层(共18层),1987年建塔楼,南,2017.07.23,10, 距离13号线柳芳站1094米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101746110.html
西单租房,力学胡同14号院,西单灵境两居室 大户型 采光视野好 看房方便优质房源,2室1厅,82平米,11000,高楼层(共5层),1993年建板楼,西北,2017.07.25,8, 距离1号线西单站491米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101750844.html
旧宫租房,芳源里,芳源里 2室1厅 4000元,2室1厅,88平米,4000,中楼层(共6层),2003年建板楼,南 北,2017.07.15,7, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101776183.html
南沙滩租房,南沙滩小区,南沙滩出租两居室 精装修 随时入住,2室1厅,53平米,5200,高楼层(共6层),1987年建板楼,南 北,2017.07.25,7, 距离15号线北沙滩站810米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101778248.html
芍药居租房,芍药居北里,芍药居北里 1室1厅 5500元,1室1厅,64平米,5500,低楼层(共24层),1998年建塔楼,北,2017.07.21,11, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101780582.html
白石桥租房,国家气象局,国家气象局 2室1厅 8500元,2室1厅,71平米,8500,高楼层(共7层),2000年建板楼,南 北,2017.07.19,6, 距离4号线国家图书馆站609米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101780787.html
十里堡租房,爱这城一期,爱这城一期 南向正规一居  精装修诚意出租,1室1厅,60平米,7500,高楼层(共20层),2007年建板塔结合,南,2017.07.22,6, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101782018.html
清河租房,中央财经大学家属楼,南北通透三居，有钥匙，看房随时，拎包入住,3室1厅,83平米,7500,高楼层(共6层),1990年建板楼,南 北,2017.07.17,7, 距离13号线上地站946米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101784922.html
朝阳门外租房,新中西街,新中西街 1室0厅 5500元,1室0厅,41平米,5500,中楼层(共7层),1990年建板楼,东,2017.07.27,10, 距离2号线东四十条站418米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101785580.html
十里堡租房,海华堂,海华堂 2室1厅 7600元,2室1厅,90平米,7600,高楼层(共33层),2011年建塔楼,西南,2017.07.27,6, 距离6号线十里堡站517米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101788813.html
知春路租房,太阳园,知春路 双榆树 太阳园小区 电梯房带客厅一居室,1室1厅,55平米,5500,高楼层(共27层),2001年建塔楼,西,2017.07.26,5, 距离10号线知春路站951米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101789447.html
立水桥租房,北方明珠,看房方便有钥匙 户型方正 居住舒适,1室0厅,54平米,3900,中楼层(共19层),2004年建塔楼,西,2017.07.25,8, 距离5号线立水桥站813米 随时看房 自供暖,https://bj.lianjia.com/zufang/101101789728.html
三元桥租房,裘马都,三元桥裘马都南向两居 随时看房,2室1厅,101平米,14000,低楼层(共17层),2008年建塔楼,南,2017.07.23,10, 距离机场线三元桥站1073米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101791063.html
右安门内租房,里仁街3号院,里仁街3号院大三居，一层西南朝向，诚心出租,3室1厅,97平米,8000,低楼层(共18层),1997年建塔楼,西南,2017.07.23,7, 距离4号线陶然亭站387米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101792270.html
长阳租房,芭蕾雨悦都南区,芭蕾雨悦都两居 南北通透 户型方正，家具家电可配,2室1厅,89平米,4000,中楼层(共9层),2012年建板楼,南 北,2017.07.21,6, 距离房山线篱笆房站326米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101765561.html
金融街租房,宏汇园小区,宏汇园小区 1室1厅 7500元,1室1厅,52平米,7500,中楼层(共7层),1999年建板楼,西,2017.07.19,11, 距离4号线灵境胡同站300米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101772759.html
马家堡租房,晨欣园,全南向正规一居室拎包入住 角门西双地铁,1室1厅,51平米,4500,中楼层(共6层),2000年建板楼,南,2017.07.24,6, 距离4号线角门西站115米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101752370.html
新街口租房,新街口西里三区,新街口西里三区 1室1厅 4200元,1室1厅,41平米,4200,地下室(共7层),2003年建板楼,东,2017.07.17,14, 距离4号线新街口站545米 随时看房 自供暖,https://bj.lianjia.com/zufang/101101752840.html
后沙峪租房,万科城市花园,万科城市花园 3室1厅 6300元,3室1厅,110平米,6300,中楼层(共5层),1995年建板楼,南,2017.07.27,10, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101753662.html
枣园租房,滨河西里北区,滨河西里北区 3室1厅 4500元,3室1厅,99平米,4500,低楼层(共6层),1994年建板楼,南 北,2017.07.26,6, 距离4号线枣园站681米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101758927.html
CBD租房,光辉南里,光辉南里精装一居室，地铁大望路站,1室1厅,55平米,6200,低楼层(共6层),1994年建板楼,东 南,2017.07.21,9, 距离1号线大望路站620米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101759005.html
鼓楼大街租房,安福街,安福街 2室1厅 2900元,2室1厅,50平米,2900,高楼层(共4层),1980年建板楼,南,2017.07.25,9, 距离昌平线昌平站832米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101761052.html
管庄租房,北京新天地,北京新天地 1室2厅 4700元,1室2厅,64平米,4700,低楼层(共28层),2007年建板塔结合,西北,2017.07.23,11, 距离八通线管庄站1182米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101768145.html
黄村火车站租房,林校北里,南北通透  简装两居  优质格局，环境优美,2室1厅,62平米,2700,高楼层(共6层),1991年建板楼,南 北,2017.07.27,8, 距离4号线黄村火车站站1054米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101771931.html
成寿寺租房,晶城秀府,客厅层高3.6米，厨房卫生间都带窗户，2010年房龄新。,2室1厅,108平米,8500,中楼层(共14层),2009年建塔楼,西,2017.07.24,7, 距离10号线成寿寺站728米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101774882.html
石佛营租房,石佛营东里小区,石佛营东里小区 1室1厅 4000元,1室1厅,47平米,4000,低楼层(共12层),1992年建板塔结合,东 西,2017.07.26,8, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101777051.html
惠新西街租房,樱花园,爱上一座城，恋上一个家。樱花园优质两居室。,2室1厅,62平米,6300,高楼层(共6层),1986年建板楼,南,2017.07.26,8, 距离5号线惠新西街南口站432米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101779909.html
玉桥租房,玉桥南里,玉桥南里 1室1厅 2300元,1室1厅,49平米,2300,中楼层(共6层),1992年建板楼,南,2017.07.23,9, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101755342.html
广渠门租房,天利园,天利园 2室1厅 10000元,2室1厅,92平米,10000,低楼层(共16层),2003年建板楼,南 北,2017.07.21,9, 距离7号线广渠门内站352米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101761005.html
武夷花园租房,京贸国际城西区,京贸国际城西区 2室1厅 4200元,2室1厅,92平米,4200,低楼层(共36层),2011年建塔楼,南,2017.07.17,5, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101762016.html
成寿寺租房,华芳园,南三环地铁10号线成寿寺路西向一居室,1室1厅,64平米,4500,中楼层(共24层),1999年建塔楼,西,2017.07.22,9, 距离10号线成寿寺站434米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101747224.html
亚运村小营租房,主场,大屯路东主场精装开间  家电都有 温馨舒适,1室0厅,43平米,5800,中楼层(共24层),2007年建塔楼,北,2017.07.25,8, 距离5号线大屯路东站665米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101748270.html
广渠门租房,南水关,南水关 2室1厅 5400元,2室1厅,62平米,5400,中楼层(共14层),1989年建板楼,南 北,2017.07.19,14, 距离7号线广渠门外站782米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101750783.html
陶然亭租房,姚家井二巷,200米到陶然亭公园西门 300米到4号线陶然亭站 ,1室1厅,39平米,4000,高楼层(共6层),1992年建板楼,南,2017.07.21,7, 距离4号线陶然亭站556米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101787984.html
北大地租房,邮局宿舍,正规小两居、中间楼层、看房方便,2室1厅,57平米,4000,中楼层(共6层),1990年建板楼,南 北,2017.07.25,5, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101789361.html
和平里租房,和平里六区,和平里六区 正南一居室 户型方正,2室1厅,67平米,5500,高楼层(共18层),1993年建塔楼,南,2017.07.21,5, 距离5号线和平里北街站886米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101793454.html
